Date,Open,High,Low,Close,Adj Close,Volume
9/14/2022,154.789993,157.100006,153.610001,155.309998,155.05278,87965400
9/15/2022,154.649994,155.240005,151.380005,152.369995,152.117645,90481100
9/16/2022,151.210007,151.350006,148.369995,150.699997,150.450424,162157000
9/19/2022,149.309998,154.559998,149.100006,154.479996,154.224152,81474200
9/20/2022,153.399994,158.080002,153.080002,156.899994,156.640152,107689800
9/21/2022,157.339996,158.740005,153.600006,153.720001,153.465424,101696800
9/22/2022,152.380005,154.470001,150.910004,152.740005,152.487045,86652500
9/23/2022,151.190002,151.470001,148.559998,150.429993,150.180862,95939200
9/26/2022,149.660004,153.770004,149.639999,150.770004,150.520309,93339400
9/27/2022,152.740005,154.720001,149.949997,151.759995,151.508667,84442700
9/28/2022,147.639999,150.639999,144.839996,149.839996,149.591843,146691400
9/29/2022,146.100006,146.720001,140.679993,142.479996,142.244034,128138200
9/30/2022,141.279999,143.100006,138,138.199997,137.971115,124705400
10/3/2022,138.210007,143.070007,137.690002,142.449997,142.214081,114311700
10/4/2022,145.029999,146.220001,144.259995,146.100006,145.858047,87830100
10/5/2022,144.070007,147.380005,143.009995,146.399994,146.157532,79471000
10/6/2022,145.809998,147.539993,145.220001,145.429993,145.189148,68402200
10/7/2022,142.539993,143.100006,139.449997,140.089996,139.857986,85859100
10/10/2022,140.419998,141.889999,138.570007,140.419998,140.187439,74899000
10/11/2022,139.899994,141.350006,138.220001,138.979996,138.749832,77033700
10/12/2022,139.130005,140.360001,138.160004,138.339996,138.110886,70433700
10/13/2022,134.990005,143.589996,134.369995,142.990005,142.753204,113224000
10/14/2022,144.309998,144.520004,138.190002,138.380005,138.150833,88512300
10/17/2022,141.070007,142.899994,140.270004,142.410004,142.174164,85250900
10/18/2022,145.490005,146.699997,140.610001,143.75,143.511932,99136600
10/19/2022,141.690002,144.949997,141.5,143.860001,143.62175,61758300
10/20/2022,143.020004,145.889999,142.649994,143.389999,143.152527,64522000
10/21/2022,142.869995,147.850006,142.649994,147.270004,147.026108,86464700
10/24/2022,147.190002,150.229996,146,149.449997,149.202484,75981900
10/25/2022,150.089996,152.490005,149.360001,152.339996,152.087708,74732300
